row_number,id,weight,originHubId,destinationHubId,priority,reasons
1281,PKG-001280,130.88,,WH-092,LOW,Missing foreign key: originHubId
1306,PKG-001305,483.87,,WH-017,STANDARD,Missing foreign key: originHubId
1336,PKG-001335,96.52,WH-009,,URGENT,Missing foreign key: destinationHubId
1366,PKG-001365,,,WH-032,URGENT,Missing foreign key: originHubId
1383,PKG-001382,473.48,WH-056,,URGENT,Missing foreign key: destinationHubId
1387,PKG-001386,428.07,,WH-056,LOW,Missing foreign key: originHubId
1394,PKG-001393,233.82,,WH-005,URGENT,Missing foreign key: originHubId
1419,PKG-001418,385.04,,WH-095,STANDARD,Missing foreign key: originHubId
1426,PKG-001425,88.91,,WH-081,URGENT,Missing foreign key: originHubId
1451,PKG-001450,479.47,,WH-044,URGENT,Missing foreign key: originHubId
1521,PKG-001520,202.47,WH-069,,LOW,Missing foreign key: destinationHubId
1532,PKG-001531,256.81,,WH-095,LOW,Missing foreign key: originHubId
1534,PKG-001533,294.09,,WH-092,URGENT,Missing foreign key: originHubId
1560,PKG-001559,455.3,WH-063,,STANDARD,Missing foreign key: destinationHubId
1565,PKG-001564,159.8,WH-059,,STANDARD,Missing foreign key: destinationHubId
1571,PKG-001570,22.94,WH-074,,URGENT,Missing foreign key: destinationHubId
1574,PKG-001573,183.01,,WH-043,LOW,Missing foreign key: originHubId
1585,PKG-001584,74.06,WH-073,,LOW,Missing foreign key: destinationHubId
1587,PKG-001586,129.11,,WH-075,STANDARD,Missing foreign key: originHubId
1623,PKG-001622,,,WH-018,URGENT,Missing foreign key: originHubId
1624,PKG-001623,167.18,,WH-036,STANDARD,Missing foreign key: originHubId
1657,PKG-001656,370.67,WH-099,,STANDARD,Missing foreign key: destinationHubId
1674,PKG-001673,42.4,,WH-008,STANDARD,Missing foreign key: originHubId
1699,PKG-001698,327.78,WH-006,,URGENT,Missing foreign key: destinationHubId
1721,PKG-001720,227.29,WH-079,,STANDARD,Missing foreign key: destinationHubId
1724,PKG-001723,28.29,,WH-087,URGENT,Missing foreign key: originHubId
1735,PKG-001734,300.15,,WH-044,STANDARD,Missing foreign key: originHubId
1797,PKG-001796,108.56,,WH-056,LOW,Missing foreign key: originHubId
1804,PKG-001803,338.09,WH-098,,STANDARD,Missing foreign key: destinationHubId
1813,PKG-001812,325.45,WH-013,,LOW,Missing foreign key: destinationHubId
1814,PKG-001813,4.21,,WH-077,URGENT,Missing foreign key: originHubId
1837,PKG-001836,17.73,WH-049,,LOW,Missing foreign key: destinationHubId
1848,PKG-001847,434.15,,WH-093,LOW,Missing foreign key: originHubId
1869,PKG-001868,129.37,,WH-047,URGENT,Missing foreign key: originHubId
1890,PKG-001889,28.5,WH-007,,URGENT,Missing foreign key: destinationHubId
1923,PKG-001922,134.4,,WH-044,URGENT,Missing foreign key: originHubId
1947,PKG-001946,248.1,WH-001,,STANDARD,Missing foreign key: destinationHubId
1951,PKG-001950,376.23,WH-083,,URGENT,Missing foreign key: destinationHubId
1974,PKG-001973,467.92,,WH-097,LOW,Missing foreign key: originHubId
2001,PKG-002000,166.12,,WH-085,STANDARD,Missing foreign key: originHubId
2037,PKG-002036,239.44,,WH-095,LOW,Missing foreign key: originHubId
2071,PKG-002070,422.84,WH-003,,LOW,Missing foreign key: destinationHubId
2128,PKG-002127,440.76,,WH-050,LOW,Missing foreign key: originHubId
2145,PKG-002144,460.45,,WH-089,URGENT,Missing foreign key: originHubId
2146,PKG-002145,376.83,WH-075,,STANDARD,Missing foreign key: destinationHubId
2168,PKG-002167,26.51,WH-086,,LOW,Missing foreign key: destinationHubId
2181,PKG-002180,372.82,,WH-043,STANDARD,Missing foreign key: originHubId
2221,PKG-002220,113.42,,WH-016,LOW,Missing foreign key: originHubId
2270,PKG-002269,,,WH-055,URGENT,Missing foreign key: originHubId
2285,PKG-002284,379.4,,WH-040,STANDARD,Missing foreign key: originHubId
2298,PKG-002297,36.31,,WH-080,URGENT,Missing foreign key: originHubId
2350,PKG-002349,373.01,WH-002,,STANDARD,Missing foreign key: destinationHubId
2368,PKG-002367,186.98,,WH-020,LOW,Missing foreign key: originHubId
2387,PKG-002386,346.43,WH-052,,URGENT,Missing foreign key: destinationHubId
2396,PKG-002395,2.96,WH-049,,STANDARD,Missing foreign key: destinationHubId
2416,PKG-002415,450.89,WH-060,,URGENT,Missing foreign key: destinationHubId
2441,PKG-002440,219.35,WH-070,,STANDARD,Missing foreign key: destinationHubId
2443,PKG-002442,207.59,WH-050,,STANDARD,Missing foreign key: destinationHubId
2495,PKG-002494,252.99,,WH-013,STANDARD,Missing foreign key: originHubId
2540,PKG-002539,,,WH-099,LOW,Missing foreign key: originHubId
2542,PKG-002541,494.63,,WH-093,STANDARD,Missing foreign key: originHubId
2544,PKG-002543,26.6,,WH-098,LOW,Missing foreign key: originHubId
2556,PKG-002555,122.96,WH-030,,URGENT,Missing foreign key: destinationHubId
2572,PKG-002571,390.95,WH-032,,LOW,Missing foreign key: destinationHubId
2576,PKG-002575,438.49,WH-093,,LOW,Missing foreign key: destinationHubId
2586,PKG-002585,427.92,,WH-073,URGENT,Missing foreign key: originHubId
2601,PKG-002600,296.6,,WH-079,STANDARD,Missing foreign key: originHubId
2616,PKG-002615,369.19,,WH-073,LOW,Missing foreign key: originHubId
2622,PKG-002621,360.38,,,URGENT,Missing foreign key: originHubId | Missing foreign key: destinationHubId
2625,PKG-002624,350.49,,WH-083,STANDARD,Missing foreign key: originHubId
2646,PKG-002645,33.95,WH-016,,URGENT,Missing foreign key: destinationHubId
2648,PKG-002647,194.69,,WH-032,STANDARD,Missing foreign key: originHubId
2649,PKG-002648,458.44,WH-051,,URGENT,Missing foreign key: destinationHubId
2669,PKG-002668,493.49,,WH-075,URGENT,Missing foreign key: originHubId
2679,PKG-002678,,WH-016,,STANDARD,Missing foreign key: destinationHubId
2687,PKG-002686,496.35,,WH-055,LOW,Missing foreign key: originHubId
2745,PKG-002744,25.52,WH-091,,LOW,Missing foreign key: destinationHubId
2864,PKG-002863,206.93,,WH-072,LOW,Missing foreign key: originHubId
2873,PKG-002872,105.67,WH-075,,LOW,Missing foreign key: destinationHubId
2886,PKG-002885,483.79,WH-049,,STANDARD,Missing foreign key: destinationHubId
2899,PKG-002898,297.83,,WH-015,LOW,Missing foreign key: originHubId
2918,PKG-002917,331.82,,WH-055,STANDARD,Missing foreign key: originHubId
2939,PKG-002938,448.85,WH-069,,STANDARD,Missing foreign key: destinationHubId
2962,PKG-002961,89.67,,WH-025,STANDARD,Missing foreign key: originHubId
2986,PKG-002985,439.43,WH-014,,URGENT,Missing foreign key: destinationHubId
2989,PKG-002988,210.45,,WH-088,LOW,Missing foreign key: originHubId
3085,PKG-003084,447.19,,WH-072,STANDARD,Missing foreign key: originHubId
3103,PKG-003102,32.39,,WH-023,URGENT,Missing foreign key: originHubId
3123,PKG-003122,195.01647036681968,,WH-086,URGENT,Missing foreign key: originHubId
3133,PKG-003132,341.91,,WH-098,STANDARD,Missing foreign key: originHubId
3148,PKG-003147,356.69,,WH-086,URGENT,Missing foreign key: originHubId
3305,PKG-003304,158.35,WH-030,,LOW,Missing foreign key: destinationHubId
3312,PKG-003311,425.62,WH-001,,URGENT,Missing foreign key: destinationHubId
3345,PKG-003344,45.07,,WH-007,LOW,Missing foreign key: originHubId
3355,PKG-003354,301.82,WH-072,,URGENT,Missing foreign key: destinationHubId
3391,PKG-003390,267.54,WH-022,,URGENT,Missing foreign key: destinationHubId
3414,PKG-003413,316.25,,WH-058,URGENT,Missing foreign key: originHubId
3459,PKG-003458,340.92,,WH-030,STANDARD,Missing foreign key: originHubId
3464,PKG-003463,220.85,,WH-072,LOW,Missing foreign key: originHubId
3468,PKG-003467,148.73,WH-014,,LOW,Missing foreign key: destinationHubId
3489,PKG-003488,205.51,,WH-047,LOW,Missing foreign key: originHubId
3490,PKG-003489,67.55,,WH-094,LOW,Missing foreign key: originHubId
3495,PKG-003494,395.29,WH-037,,STANDARD,Missing foreign key: destinationHubId
3519,PKG-003518,369.87,,WH-089,STANDARD,Missing foreign key: originHubId
3559,PKG-003558,8.52,,WH-090,LOW,Missing foreign key: originHubId
3567,PKG-003566,,WH-095,,URGENT,Missing foreign key: destinationHubId
3634,PKG-003633,48.85,WH-053,,LOW,Missing foreign key: destinationHubId
3644,PKG-003643,,WH-054,,URGENT,Missing foreign key: destinationHubId
3678,PKG-003677,339.81,WH-073,,LOW,Missing foreign key: destinationHubId
3756,PKG-003755,49.77,,WH-069,LOW,Missing foreign key: originHubId
3762,PKG-003761,256.98,,WH-073,STANDARD,Missing foreign key: originHubId
3778,PKG-003777,239.79,,WH-090,LOW,Missing foreign key: originHubId
3799,PKG-003798,348.26,,WH-089,URGENT,Missing foreign key: originHubId
3841,PKG-003840,,,WH-042,LOW,Missing foreign key: originHubId
3842,PKG-003841,129.11,WH-002,,STANDARD,Missing foreign key: destinationHubId
3843,PKG-003842,339.18,WH-008,,URGENT,Missing foreign key: destinationHubId
3846,PKG-003845,347.67,,WH-100,LOW,Missing foreign key: originHubId
3850,PKG-003849,431.58,WH-069,,LOW,Missing foreign key: destinationHubId
3851,PKG-003850,339.03,,WH-028,STANDARD,Missing foreign key: originHubId
3861,PKG-003860,54.58,WH-064,,STANDARD,Missing foreign key: destinationHubId
3887,PKG-003886,232.89,,WH-036,STANDARD,Missing foreign key: originHubId
3895,PKG-003894,329.09,,WH-037,URGENT,Missing foreign key: originHubId
3921,PKG-003920,292.75,WH-100,,STANDARD,Missing foreign key: destinationHubId
3924,PKG-003923,194.71,,WH-013,LOW,Missing foreign key: originHubId
3940,PKG-003939,,WH-087,,LOW,Missing foreign key: destinationHubId
3949,PKG-003948,308.0,,WH-059,STANDARD,Missing foreign key: originHubId
3968,PKG-003967,387.48,WH-090,,STANDARD,Missing foreign key: destinationHubId
3980,PKG-003979,20.15,WH-055,,LOW,Missing foreign key: destinationHubId
3995,PKG-003994,24.31,WH-039,,URGENT,Missing foreign key: destinationHubId
4062,PKG-004061,425.81,,WH-068,URGENT,Missing foreign key: originHubId
4147,PKG-004146,36.02,,WH-051,LOW,Missing foreign key: originHubId
4194,PKG-004193,261.83,WH-042,,LOW,Missing foreign key: destinationHubId
4243,PKG-004242,,,WH-037,URGENT,Missing foreign key: originHubId
4308,PKG-004307,14.63,WH-088,,URGENT,Missing foreign key: destinationHubId
4380,PKG-004379,199.67,,WH-039,URGENT,Missing foreign key: originHubId
4402,PKG-004401,29.310351467937874,WH-027,,URGENT,Missing foreign key: destinationHubId
4429,PKG-004428,191.04,WH-085,,URGENT,Missing foreign key: destinationHubId
4439,PKG-004438,132.26,WH-090,,URGENT,Missing foreign key: destinationHubId
4450,PKG-004449,349.23,,WH-014,URGENT,Missing foreign key: originHubId
4451,PKG-004450,451.51,,WH-082,URGENT,Missing foreign key: originHubId
4456,PKG-004455,319.29,,WH-044,STANDARD,Missing foreign key: originHubId
4474,PKG-004473,220.03,,WH-005,STANDARD,Missing foreign key: originHubId
4500,PKG-004499,119.07,,WH-092,URGENT,Missing foreign key: originHubId
4501,PKG-004500,365.59,,WH-098,LOW,Missing foreign key: originHubId
4537,PKG-004536,69.88,WH-085,,STANDARD,Missing foreign key: destinationHubId
4543,PKG-004542,165.09,,WH-049,LOW,Missing foreign key: originHubId
4596,PKG-004595,68.17,WH-024,,STANDARD,Missing foreign key: destinationHubId
4631,PKG-004630,118.79,,WH-099,LOW,Missing foreign key: originHubId
4731,PKG-004730,230.01,,WH-100,LOW,Missing foreign key: originHubId
4749,PKG-004748,207.85,,WH-049,STANDARD,Missing foreign key: originHubId
4762,PKG-004761,170.0,WH-032,,LOW,Missing foreign key: destinationHubId
4772,PKG-004771,298.1,WH-092,,LOW,Missing foreign key: destinationHubId
4791,PKG-004790,369.13,,WH-073,LOW,Missing foreign key: originHubId
4812,PKG-004811,180.69,,WH-042,LOW,Missing foreign key: originHubId
4844,PKG-004843,121.06,,WH-047,STANDARD,Missing foreign key: originHubId
4872,PKG-004871,154.8,WH-007,,STANDARD,Missing foreign key: destinationHubId
4951,PKG-004950,49.22,,WH-074,URGENT,Missing foreign key: originHubId
4958,PKG-004957,75.24,WH-026,,LOW,Missing foreign key: destinationHubId
4960,PKG-004959,367.05,WH-062,,URGENT,Missing foreign key: destinationHubId
4976,PKG-004975,372.17,,WH-075,LOW,Missing foreign key: originHubId
4991,PKG-004990,92.61,,,URGENT,Missing foreign key: originHubId | Missing foreign key: destinationHubId
5017,PKG-005016,43.4,WH-013,,URGENT,Missing foreign key: destinationHubId
5041,PKG-005040,417.56,WH-024,,LOW,Missing foreign key: destinationHubId
5052,PKG-005051,269.86,WH-037,,STANDARD,Missing foreign key: destinationHubId
5073,PKG-005072,3.06,WH-087,,STANDARD,Missing foreign key: destinationHubId
5092,PKG-005091,244.18,WH-019,,LOW,Missing foreign key: destinationHubId
5137,PKG-005136,433.25,,WH-034,STANDARD,Missing foreign key: originHubId
5173,PKG-005172,321.5870538317334,WH-016,,LOW,Missing foreign key: destinationHubId
5268,PKG-005267,192.92,,WH-025,LOW,Missing foreign key: originHubId
5327,PKG-005326,,WH-016,,STANDARD,Missing foreign key: destinationHubId
5371,PKG-005370,95.47,WH-096,,STANDARD,Missing foreign key: destinationHubId
5429,PKG-005428,250.59,,WH-083,LOW,Missing foreign key: originHubId
5434,PKG-005433,246.69,,WH-007,LOW,Missing foreign key: originHubId
5476,PKG-005475,161.15200718824903,,WH-098,STANDARD,Missing foreign key: originHubId
5553,PKG-005552,183.98,WH-037,,LOW,Missing foreign key: destinationHubId
5574,PKG-005573,131.55,,WH-062,STANDARD,Missing foreign key: originHubId
5645,PKG-005644,4.13,,WH-003,URGENT,Missing foreign key: originHubId
5664,PKG-005663,317.08,,WH-028,STANDARD,Missing foreign key: originHubId
5684,PKG-005683,135.5,,WH-023,URGENT,Missing foreign key: originHubId
5701,PKG-005700,468.4,WH-092,,LOW,Missing foreign key: destinationHubId
5713,PKG-005712,207.69,,WH-093,URGENT,Missing foreign key: originHubId
5764,PKG-005763,129.92,WH-055,,LOW,Missing foreign key: destinationHubId
5768,PKG-005767,36.9,WH-080,,URGENT,Missing foreign key: destinationHubId
5793,PKG-005792,418.55,,WH-059,LOW,Missing foreign key: originHubId
5833,PKG-005832,214.88,,WH-042,URGENT,Missing foreign key: originHubId
5837,PKG-005836,,WH-097,,LOW,Missing foreign key: destinationHubId
5879,PKG-005878,100.96,WH-066,,URGENT,Missing foreign key: destinationHubId
5923,PKG-005922,96.53,WH-078,,STANDARD,Missing foreign key: destinationHubId
5945,PKG-005944,83.29,,WH-031,LOW,Missing foreign key: originHubId
5955,PKG-005954,351.19,,WH-076,LOW,Missing foreign key: originHubId
5979,PKG-005978,195.74,,WH-001,URGENT,Missing foreign key: originHubId
5996,PKG-005995,19.27,WH-065,,LOW,Missing foreign key: destinationHubId
6037,PKG-006036,321.58,,WH-017,URGENT,Missing foreign key: originHubId
6040,PKG-006039,343.46,WH-052,,LOW,Missing foreign key: destinationHubId
6064,PKG-006063,261.25,WH-059,,URGENT,Missing foreign key: destinationHubId
6073,PKG-006072,439.71,WH-036,,STANDARD,Missing foreign key: destinationHubId
6091,PKG-006090,182.94,,WH-082,URGENT,Missing foreign key: originHubId
6121,PKG-006120,123.66,WH-051,,LOW,Missing foreign key: destinationHubId
6126,PKG-006125,72.95,WH-040,,STANDARD,Missing foreign key: destinationHubId
6156,PKG-006155,369.69,WH-082,,LOW,Missing foreign key: destinationHubId
6183,PKG-006182,207.96,,WH-039,LOW,Missing foreign key: originHubId
6211,PKG-006210,310.97,WH-045,,LOW,Missing foreign key: destinationHubId
6221,PKG-006220,297.07,,WH-006,LOW,Missing foreign key: originHubId
6230,PKG-006229,176.3,WH-043,,STANDARD,Missing foreign key: destinationHubId
6289,PKG-006288,382.97,,WH-019,URGENT,Missing foreign key: originHubId
6291,PKG-006290,461.3658021912305,WH-044,,LOW,Missing foreign key: destinationHubId
6348,PKG-006347,315.05,,WH-093,LOW,Missing foreign key: originHubId
6356,PKG-006355,67.03,,WH-005,LOW,Missing foreign key: originHubId
6399,PKG-006398,187.86,,WH-048,STANDARD,Missing foreign key: originHubId
6431,PKG-006430,152.59,WH-089,,STANDARD,Missing foreign key: destinationHubId
6439,PKG-006438,99.38,,WH-075,URGENT,Missing foreign key: originHubId
6443,PKG-006442,194.76,WH-047,,LOW,Missing foreign key: destinationHubId
6452,PKG-006451,304.77,,WH-045,LOW,Missing foreign key: originHubId
6457,PKG-006456,365.82,,WH-044,URGENT,Missing foreign key: originHubId
6462,PKG-006461,25.61,WH-088,,LOW,Missing foreign key: destinationHubId
6497,PKG-006496,118.21,,WH-025,URGENT,Missing foreign key: originHubId
6527,PKG-006526,379.3,,WH-064,URGENT,Missing foreign key: originHubId
6597,PKG-006596,406.51,,WH-046,URGENT,Missing foreign key: originHubId
6618,PKG-006617,51.609096401965324,WH-017,,URGENT,Missing foreign key: destinationHubId
6626,PKG-006625,62.15,,WH-026,LOW,Missing foreign key: originHubId
6651,PKG-006650,304.64,,WH-046,URGENT,Missing foreign key: originHubId
6666,PKG-006665,254.8,WH-096,,LOW,Missing foreign key: destinationHubId
6681,PKG-006680,17.82,WH-096,,URGENT,Missing foreign key: destinationHubId
6732,PKG-006731,179.02,WH-083,,URGENT,Missing foreign key: destinationHubId
6743,PKG-006742,94.34,,WH-017,STANDARD,Missing foreign key: originHubId
6816,PKG-006815,4.14,,WH-019,LOW,Missing foreign key: originHubId
6839,PKG-006838,235.73,,WH-073,URGENT,Missing foreign key: originHubId
6879,PKG-006878,,WH-046,,URGENT,Missing foreign key: destinationHubId
6909,PKG-006908,318.86,,WH-032,LOW,Missing foreign key: originHubId
6928,PKG-006927,464.12,,WH-067,URGENT,Missing foreign key: originHubId
6949,PKG-006948,493.84,,WH-086,STANDARD,Missing foreign key: originHubId
6963,PKG-006962,456.82,WH-036,,LOW,Missing foreign key: destinationHubId
7046,PKG-007045,141.58,,WH-066,URGENT,Missing foreign key: originHubId
7056,PKG-007055,133.97,WH-035,,STANDARD,Missing foreign key: destinationHubId
7064,PKG-007063,406.06,,WH-005,LOW,Missing foreign key: originHubId
7144,PKG-007143,242.23,,WH-094,LOW,Missing foreign key: originHubId
7184,PKG-007183,55.24,,WH-027,STANDARD,Missing foreign key: originHubId
7255,PKG-007254,331.66,,WH-023,LOW,Missing foreign key: originHubId
7263,PKG-007262,132.64,,WH-023,STANDARD,Missing foreign key: originHubId
7304,PKG-007303,245.76,,WH-079,STANDARD,Missing foreign key: originHubId
7305,PKG-007304,256.19,WH-072,,URGENT,Missing foreign key: destinationHubId
7318,PKG-007317,388.54,WH-046,,LOW,Missing foreign key: destinationHubId
7336,PKG-007335,227.49,,WH-010,LOW,Missing foreign key: originHubId
7376,PKG-007375,218.98,WH-074,,STANDARD,Missing foreign key: destinationHubId
7393,PKG-007392,180.16,WH-063,,LOW,Missing foreign key: destinationHubId
7418,PKG-007417,10.21,WH-003,,URGENT,Missing foreign key: destinationHubId
7425,PKG-007424,287.35,,WH-024,LOW,Missing foreign key: originHubId
7433,PKG-007432,317.29,,WH-019,LOW,Missing foreign key: originHubId
7456,PKG-007455,62.8,,WH-059,LOW,Missing foreign key: originHubId
7483,PKG-007482,179.42,,WH-067,URGENT,Missing foreign key: originHubId
7533,PKG-007532,424.93,,WH-043,STANDARD,Missing foreign key: originHubId
7558,PKG-007557,370.41,WH-075,,STANDARD,Missing foreign key: destinationHubId
7617,PKG-007616,175.98,,,LOW,Missing foreign key: originHubId | Missing foreign key: destinationHubId
7634,PKG-007633,263.98,WH-042,,LOW,Missing foreign key: destinationHubId
7646,PKG-007645,175.42,,WH-079,LOW,Missing foreign key: originHubId
7707,PKG-007706,450.78,,WH-004,URGENT,Missing foreign key: originHubId
7721,PKG-007720,5.99,,WH-068,LOW,Missing foreign key: originHubId
7771,PKG-007770,166.56,,WH-038,STANDARD,Missing foreign key: originHubId
7811,PKG-007810,346.22,,WH-032,LOW,Missing foreign key: originHubId
7815,PKG-007814,90.14,,WH-059,LOW,Missing foreign key: originHubId
7817,PKG-007816,326.1,WH-079,,LOW,Missing foreign key: destinationHubId
7823,PKG-007822,442.94,WH-100,,STANDARD,Missing foreign key: destinationHubId
7827,PKG-007826,256.18,WH-077,,STANDARD,Missing foreign key: destinationHubId
7836,PKG-007835,472.76,WH-075,,LOW,Missing foreign key: destinationHubId
7879,PKG-007878,70.15,,WH-078,LOW,Missing foreign key: originHubId
7883,PKG-007882,,WH-084,,STANDARD,Missing foreign key: destinationHubId
7887,PKG-007886,414.52,,WH-020,URGENT,Missing foreign key: originHubId
7895,PKG-007894,259.86,WH-065,,LOW,Missing foreign key: destinationHubId
7898,PKG-007897,54.08,WH-018,,STANDARD,Missing foreign key: destinationHubId
7951,PKG-007950,82.33,WH-030,,LOW,Missing foreign key: destinationHubId
7961,PKG-007960,394.54,WH-095,,LOW,Missing foreign key: destinationHubId
8013,PKG-008012,247.01,,WH-007,STANDARD,Missing foreign key: originHubId
8016,PKG-008015,426.75,,WH-006,URGENT,Missing foreign key: originHubId
8037,PKG-008036,362.64,WH-062,,STANDARD,Missing foreign key: destinationHubId
8111,PKG-008110,2.67,,,URGENT,Missing foreign key: originHubId | Missing foreign key: destinationHubId
8122,PKG-008121,466.81,WH-014,,LOW,Missing foreign key: destinationHubId
8130,PKG-008129,302.03,,WH-090,STANDARD,Missing foreign key: originHubId
8149,PKG-008148,237.99,,WH-097,STANDARD,Missing foreign key: originHubId
8168,PKG-008167,59.191489278464786,,WH-040,URGENT,Missing foreign key: originHubId
8178,PKG-008177,417.87,,WH-012,LOW,Missing foreign key: originHubId
8188,PKG-008187,295.57,,WH-064,LOW,Missing foreign key: originHubId
8199,PKG-008198,419.74,WH-094,,LOW,Missing foreign key: destinationHubId
8214,PKG-008213,494.58,,WH-091,LOW,Missing foreign key: originHubId
8283,PKG-008282,474.27,WH-072,,URGENT,Missing foreign key: destinationHubId
8286,PKG-008285,350.33,WH-016,,LOW,Missing foreign key: destinationHubId
8287,PKG-008286,210.4,,WH-084,URGENT,Missing foreign key: originHubId
8304,PKG-008303,45.32,WH-029,,URGENT,Missing foreign key: destinationHubId
8309,PKG-008308,98.52,,WH-080,URGENT,Missing foreign key: originHubId
8341,PKG-008340,411.21,WH-059,,LOW,Missing foreign key: destinationHubId
8363,PKG-008362,196.83,,WH-077,STANDARD,Missing foreign key: originHubId
8441,PKG-008440,111.94,WH-065,,LOW,Missing foreign key: destinationHubId
8445,PKG-008444,,WH-015,,STANDARD,Missing foreign key: destinationHubId
8460,PKG-008459,147.15,,WH-037,LOW,Missing foreign key: originHubId
8462,PKG-008461,371.9,,WH-097,LOW,Missing foreign key: originHubId
8529,PKG-008528,463.67,WH-090,,LOW,Missing foreign key: destinationHubId
8547,PKG-008546,65.21,WH-002,,URGENT,Missing foreign key: destinationHubId
8549,PKG-008548,232.33,WH-008,,STANDARD,Missing foreign key: destinationHubId
8576,PKG-008575,234.62,,WH-090,LOW,Missing foreign key: originHubId
8577,PKG-008576,266.64,WH-056,,LOW,Missing foreign key: destinationHubId
8668,PKG-008667,140.15,WH-006,,STANDARD,Missing foreign key: destinationHubId
8731,PKG-008730,6.4,,WH-079,STANDARD,Missing foreign key: originHubId
8772,PKG-008771,259.85,WH-042,,STANDARD,Missing foreign key: destinationHubId
8812,PKG-008811,149.47,,WH-060,LOW,Missing foreign key: originHubId
8815,PKG-008814,153.85,WH-085,,STANDARD,Missing foreign key: destinationHubId
8821,PKG-008820,395.88,WH-064,,URGENT,Missing foreign key: destinationHubId
8831,PKG-008830,208.48,,WH-051,URGENT,Missing foreign key: originHubId
8848,PKG-008847,267.53,,WH-098,STANDARD,Missing foreign key: originHubId
